4000 4000 64 61.38 0.959
4000 4000 32 31.33 0.979
4000 4000 16 15.83 0.989
4000 4000 8 7.96 0.995
4000 4000 4 3.99 0.998
1 30000000 16 16.03 1.002
1 30000000 8 7.89 0.986
1 30000000 4 3.97 0.993
1 30000000 2 1.98 0.99
1 30000000 1 1 1
1000 1000 64 53.61 0.838
1000 1000 32 29.05 0.908
1000 1000 16 15.14 0.946
1000 1000 8 7.73 0.966
1000 1000 4 3.93 0.983
1 10000000 16 16.45 1.028
1 10000000 8 7.99 0.999
1 10000000 4 3.98 0.995
1 10000000 2 1.98 0.99
1 10000000 1 1 1
